alloy_grade,billet_temperature_C,container_temperature_C,die_temperature_C,ram_speed_mm_per_sec,billet_diameter_mm,extrusion_ratio,mean_strain_rate_per_sec,zener_hollomon_parameter,flow_stress_MPa,exit_temperature_C,ram_pressure_MPa,exit_speed_mm_per_sec,surface_quality_score,run_is_valid
AA6063,428.19,391.4,399.95,2.122,93.06,21.4,0.133592,23354242529.234,26.852,447.18,94.97,45.478,0.0,True
AA7075,491.28,446.99,401.57,2.158,126.81,47.18,0.127478,7711176486.843,19.21,499.44,84.94,103.606,0.0,True
AA7075,436.72,438.91,423.27,5.866,133.74,13.49,0.221108,67481141426.107,26.54,452.23,77.86,80.283,0.0,True
AA6063,425.6,460.64,403.32,6.629,97.82,37.26,0.471064,62639054615.155,30.344,466.5,127.98,248.492,0.0,True
AA6061,479.86,413.03,455.17,7.971,94.35,25.17,0.518205,25353043714.475,24.846,493.88,94.5,199.755,0.0,True
AA6063,484.92,434.52,421.17,3.4,141.4,25.7,0.153983,4091685555.359,21.168,498.23,79.14,90.246,0.0,True
AA7075,463.91,409.86,412.53,4.679,84.66,19.16,0.314608,44689247651.25,25.065,474.14,87.49,90.498,0.0,True
AA7075,470.44,421.82,451.58,6.496,90.62,22.47,0.427669,50962094666.78,25.532,483.64,93.53,146.501,0.0,True
AA6063,427.21,425.89,411.72,4.175,122.28,30.09,0.223266,32832126110.829,28.039,457.28,111.42,126.354,0.0,True
AA6061,440.8,407.6,394.81,7.303,120.84,26.03,0.379111,61196705663.749,27.854,468.13,106.42,191.589,0.0,True
AA7075,479.29,428.11,387.55,7.422,135.31,10.92,0.250766,22771386404.192,22.729,481.4,63.17,81.156,0.0,True
AA6061,486.52,389.84,454.74,7.06,116.32,33.65,0.409268,18188019728.68,23.751,498.57,94.14,238.561,0.0,True
AA7075,493.65,417.57,417.27,7.443,121.09,11.31,0.284258,17370680324.458,21.82,491.7,63.58,84.053,0.0,True
AA6061,423.62,433.14,394.26,7.726,90.41,26.58,0.535501,136990501069.862,30.715,455.31,117.66,205.435,0.0,True
AA6061,436.64,380.26,415.69,4.892,84.6,41.02,0.415366,89583485608.814,29.195,459.68,126.97,203.214,0.0,True
AA6063,447.97,383.87,439.49,2.875,142.82,31.06,0.13353,13573649113.424,25.009,468.68,100.7,90.273,0.0,True
AA6063,484.7,394.73,431.86,2.725,86.96,19.73,0.174683,5787751873.894,22.243,486.26,78.63,52.617,0.01,True
AA7075,446.25,387.82,431.19,6.164,139.37,14.91,0.227775,67795550618.568,26.557,452.1,85.9,91.723,0.0,True
AA7075,448.62,426.68,402.42,5.367,108.66,32.08,0.327302,67925961958.62,26.564,470.96,109.73,172.249,0.0,True
AA7075,459.95,439.11,436.2,3.849,95.26,35.8,0.27387,38611134317.766,24.55,482.73,103.47,136.687,0.0,True
AA6063,484.31,418.94,384.47,3.879,114.82,38.81,0.233483,6609286615.651,22.663,499.21,100.32,148.896,0.0,True
AA6061,492.8,413.7,409.22,4.661,83.29,16.65,0.298759,10018470150.179,21.844,494.15,70.84,77.136,0.0,True
AA6063,475.97,428.71,454.71,3.784,146.79,15.4,0.13436,4473195718.989,21.442,486.02,69.12,58.159,0.0,True
AA7075,469.72,406.69,440.12,1.726,85.26,39.13,0.14343,19627919678.24,22.228,480.43,96.03,68.324,0.0,True
AA7075,441.7,427.84,409.06,1.574,144.21,15.47,0.05953,16141870753.94,21.577,454.23,70.24,25.392,8.05,True
AA6063,480.44,438.05,430.67,7.87,143.24,35.87,0.375367,11007716449.564,24.314,497.42,105.63,282.056,0.0,True
AA7075,423.84,435.71,403.32,7.515,147.97,47.77,0.372812,177425756413.353,30.118,455.26,136.72,356.884,0.0,True
AA6063,427.6,435.9,408.22,5.999,84.57,22.61,0.427691,62543178912.187,30.339,457.64,112.1,137.329,0.0,True
AA6061,456.0,416.31,458.55,0.926,92.98,25.36,0.066518,6824605981.946,20.66,466.18,77.17,25.401,0.09,True
AA6063,476.99,380.9,417.14,3.035,139.7,38.62,0.153806,6351903443.211,22.537,486.46,97.42,118.918,0.0,True
AA6061,498.44,450.08,427.59,7.356,149.24,39.73,0.345213,8377180155.614,21.288,513.34,90.83,291.095,0.0,True
AA6063,434.54,441.19,408.81,1.457,147.84,45.35,0.06923,7454129043.75,23.047,463.58,102.1,63.714,0.0,True
AA6061,468.34,439.11,382.18,7.263,140.21,28.3,0.330776,18673382298.539,23.837,489.59,92.9,205.564,0.0,True
AA7075,426.44,412.9,409.8,2.878,130.64,29.84,0.139907,66227264177.967,26.472,454.32,104.33,84.083,0.0,True
AA6061,465.33,433.52,423.24,7.038,131.37,30.85,0.351526,23128177197.272,24.541,483.45,97.29,217.54,0.0,True
AA6063,474.04,428.66,439.53,2.135,141.66,44.87,0.10822,3937628177.567,21.051,491.68,94.11,94.694,0.0,True
AA6063,440.47,395.64,387.91,3.273,119.19,14.63,0.141247,16414554437.711,25.648,451.21,80.15,48.072,0.0,True
AA6063,428.33,454.28,436.23,1.399,101.07,38.33,0.101619,12553143753.38,24.749,458.96,106.0,56.527,0.0,True
AA6063,451.37,385.2,447.02,3.608,137.31,20.1,0.150368,13629275180.225,25.023,464.34,87.21,72.418,0.0,True
AA7075,474.33,432.99,400.63,7.739,90.57,27.29,0.533814,52532434411.065,25.64,491.72,98.87,208.959,0.0,True
AA7075,478.45,396.18,449.29,5.945,119.39,28.86,0.322969,32896610418.231,23.991,486.7,94.38,173.297,0.0,True
AA6063,429.82,384.4,453.63,5.245,135.76,29.26,0.252524,43237228449.419,29.013,454.24,113.54,155.567,0.0,True
AA6063,467.55,414.59,459.65,2.111,112.52,37.22,0.125667,6030270378.525,22.373,483.48,95.26,76.188,0.0,True
AA7075,428.92,401.15,458.06,1.999,114.92,34.73,0.11776,57438847956.319,25.96,448.66,107.51,69.365,0.0,True
AA6061,453.15,391.54,425.46,5.794,136.04,18.01,0.236442,29320691388.992,25.333,465.19,86.42,104.908,0.0,True
AA6061,471.38,443.14,428.4,4.39,126.26,32.12,0.230437,12755339259.741,22.607,488.26,89.88,141.032,0.0,True
AA6061,423.8,399.24,393.38,7.159,95.34,49.03,0.55379,151560624405.537,31.08,466.51,141.1,348.268,0.0,True
AA6061,471.85,405.17,423.88,4.432,85.71,26.13,0.32379,20169704075.475,24.09,487.47,91.56,116.357,0.0,True
AA6063,449.36,409.22,460.09,1.279,140.69,33.15,0.060868,5306461611.395,21.971,464.17,91.24,42.454,0.01,True
AA6061,500.12,401.99,410.39,3.61,112.61,43.44,0.235831,7033599003.003,20.752,504.23,93.58,160.16,0.0,True
AA6061,432.24,448.59,418.23,2.747,140.95,27.81,0.123039,18952160758.365,23.886,461.17,92.78,75.945,0.0,True
AA6061,489.07,380.42,425.15,5.158,107.77,19.48,0.273178,12175924860.5,22.459,494.39,77.25,101.126,0.0,True
AA6063,454.15,401.97,429.75,5.969,91.69,16.7,0.348804,26150161861.443,27.244,470.67,90.3,99.351,0.0,True
AA7075,428.82,400.55,384.38,4.741,145.56,11.57,0.15159,71672123398.681,26.759,439.95,77.01,54.607,0.03,True
AA6061,450.25,418.9,432.76,1.136,102.62,48.92,0.081211,8677370929.991,21.397,469.58,97.33,54.876,0.0,True
AA6061,444.01,438.29,395.96,5.725,147.89,13.76,0.193437,23303298927.43,24.566,463.2,76.33,78.602,0.0,True
AA6061,450.14,381.14,399.71,6.854,140.52,40.74,0.343434,47288112509.564,26.96,472.52,119.48,277.695,0.0,True
AA6061,472.97,461.39,384.42,7.858,108.48,44.83,0.524902,24764495165.965,24.768,495.95,108.6,351.478,0.0,True
AA6061,456.03,450.78,451.34,3.147,140.82,25.03,0.140632,11433351271.445,22.26,477.52,86.92,80.596,0.0,True
AA7075,452.73,416.91,398.32,3.725,95.91,12.93,0.184127,39761415442.617,24.653,462.8,73.6,46.705,0.08,True
AA6061,460.66,382.78,407.98,3.69,107.92,33.21,0.226967,24156251618.03,24.686,472.39,101.67,121.583,0.0,True
AA7075,452.46,396.05,418.39,2.4,91.64,34.69,0.174571,42981616789.11,24.928,464.04,103.58,81.944,0.0,True
AA6061,477.4,400.48,412.48,1.869,92.68,37.24,0.138148,7634655744.819,21.003,484.5,89.44,69.022,0.0,True
AA6061,484.53,424.06,382.77,5.399,146.6,34.06,0.249688,10100950121.318,21.87,494.62,92.82,185.04,0.0,True
AA6063,492.91,442.49,425.12,2.824,101.14,39.28,0.193346,4055819148.737,21.141,506.24,88.97,109.567,0.0,True
AA6063,434.67,440.57,447.49,2.531,86.7,10.95,0.132686,15221607371.4,25.393,454.02,68.91,27.552,0.03,True
AA6061,432.38,401.44,426.11,5.783,110.99,27.83,0.328007,71993420621.169,28.423,456.82,110.96,159.5,0.0,True
AA6063,490.78,395.38,405.25,2.622,104.85,12.78,0.120033,3216816180.388,20.44,491.63,61.31,33.049,0.52,True
AA6061,472.46,397.84,415.72,2.34,83.66,25.14,0.171671,10476076152.352,21.984,483.12,83.52,58.631,0.0,True
AA7075,437.17,423.48,386.64,4.137,132.93,23.9,0.189365,63002218819.481,26.292,458.64,97.89,99.259,0.0,True
AA6063,427.14,400.16,441.88,6.976,122.59,30.27,0.374699,63945048641.229,30.419,453.84,120.23,213.513,0.0,True
AA6063,444.69,411.76,415.39,5.227,116.1,46.78,0.329205,31281584322.051,27.869,472.46,126.89,243.428,0.0,True
AA6061,489.98,443.58,443.23,3.132,85.66,26.12,0.227877,7284195591.903,20.859,503.4,80.34,81.825,0.0,True
AA6063,458.64,404.98,429.02,2.024,142.88,43.17,0.099371,6469744559.048,22.595,475.58,97.79,85.241,0.0,True
AA6063,438.23,387.03,442.19,1.843,121.6,47.46,0.11241,14633189864.176,25.261,458.49,111.51,87.999,0.0,True
AA6063,481.85,416.48,384.26,7.973,84.04,37.8,0.657375,20362688097.736,26.381,501.77,111.97,301.053,0.0,True
AA6063,438.18,398.99,392.63,5.657,139.36,38.97,0.280606,34348759457.357,28.197,461.06,124.72,217.86,0.0,True
AA7075,479.55,440.75,380.99,3.857,113.69,10.77,0.156217,12979869526.357,20.863,481.1,58.25,42.135,0.05,True
AA7075,456.18,449.26,386.47,4.337,90.5,22.99,0.292253,45345554928.917,25.117,478.12,91.86,101.55,0.0,True
AA6063,430.98,388.01,433.5,7.564,136.62,13.06,0.27296,45093771426.73,29.163,446.38,89.94,99.228,0.0,True
AA7075,455.98,398.42,451.94,4.216,141.77,14.23,0.148596,30363388535.894,23.714,461.97,74.03,59.107,0.01,True
AA6063,495.47,439.54,409.45,3.112,104.48,40.99,0.208773,3981272010.154,21.084,511.95,90.32,126.063,0.0,True
AA6063,498.05,433.96,380.53,2.822,98.25,12.77,0.138036,2593075389.302,19.8,499.95,57.63,35.602,0.61,True
AA6061,468.71,426.38,439.25,6.618,125.95,15.12,0.27523,17432792004.436,23.613,475.94,72.32,101.063,0.0,True
AA6063,433.84,401.54,454.57,5.649,114.72,10.51,0.22445,31841745536.754,27.931,444.6,78.17,60.234,0.0,True
AA6061,487.76,437.63,441.59,5.622,92.42,31.8,0.399856,13939902309.654,22.891,505.19,92.62,177.868,0.0,True
AA6063,453.24,439.8,439.3,5.334,87.42,16.06,0.32051,20266845875.146,26.365,472.67,84.04,84.869,0.0,True
AA6063,480.44,449.66,402.67,2.417,141.59,36.3,0.114231,3274085664.753,20.493,493.72,88.25,85.589,0.0,True
AA6063,464.22,380.84,439.99,1.225,132.2,18.1,0.052176,3238751007.925,20.46,468.85,68.88,22.573,0.57,True
AA6063,429.58,410.42,430.02,6.38,95.2,15.51,0.355451,52909556496.223,29.735,451.76,97.24,100.257,0.0,True
AA7075,424.56,427.23,424.91,4.99,122.24,37.06,0.277942,128796817531.938,28.916,456.95,121.09,182.5,0.0,True
AA6061,436.15,444.7,422.4,3.658,88.57,39.42,0.286366,41608985382.597,26.52,466.93,113.03,142.474,0.0,True
AA6061,472.78,444.4,388.98,3.813,138.79,25.35,0.172141,9287549068.365,21.608,486.54,79.09,98.1,0.0,True
AA6063,479.89,383.69,448.37,2.595,106.38,28.47,0.155036,5601184810.773,22.141,487.72,86.94,73.416,0.0,True
AA7075,460.11,414.37,438.71,6.365,91.12,34.41,0.471551,78625456148.175,27.096,476.84,110.72,218.793,0.0,True
AA7075,441.33,442.49,459.04,3.7,110.02,43.79,0.236083,58177247679.933,26.006,466.51,113.15,157.582,0.0,True
AA7075,446.22,451.46,382.54,5.584,147.44,32.41,0.254419,49989619016.636,25.463,472.6,101.51,182.985,0.0,True
AA7075,443.87,455.6,457.86,2.377,81.54,38.8,0.19546,41375534601.851,24.793,472.75,102.55,88.508,0.0,True
AA7075,476.18,425.49,388.31,4.156,113.93,16.63,0.198316,19168254976.196,22.149,481.48,73.12,69.985,0.0,True
AA6061,484.03,415.79,384.28,6.585,94.1,20.34,0.397726,16658870231.332,23.466,494.6,82.43,132.322,0.0,True
AA6061,432.04,400.55,454.45,4.875,132.55,32.32,0.246453,51881507968.947,27.28,460.2,110.15,159.052,0.0,True
AA7075,470.71,445.97,410.8,6.498,147.51,18.15,0.241289,23424630513.415,22.825,486.53,78.34,116.696,0.0,True
AA7075,434.1,453.05,424.16,4.142,119.05,16.64,0.186453,53460164466.4,25.703,456.29,84.26,68.782,0.0,True
AA7075,444.0,443.85,456.5,7.057,88.24,39.59,0.55721,124455583726.985,28.788,472.58,124.27,277.05,0.0,True
AA6063,465.12,421.9,437.72,7.298,85.56,39.26,0.592482,29348474077.321,27.646,487.66,120.25,283.92,0.0,True
AA7075,490.48,432.29,404.53,2.862,137.35,45.19,0.147332,8781778221.531,19.616,501.7,87.93,125.648,0.0,True
AA6061,479.94,432.23,430.05,3.427,138.9,28.85,0.160258,7076907427.713,20.771,494.51,80.0,100.017,0.0,True
AA7075,434.12,450.4,397.17,6.825,99.55,35.72,0.470531,144897831878.584,29.356,466.53,122.94,244.981,0.0,True
AA6063,480.32,443.23,431.49,2.708,143.5,36.83,0.135443,3815242064.134,20.955,497.2,89.96,103.933,0.0,True
AA7075,453.56,445.07,419.33,1.229,109.5,11.09,0.047247,8253224895.894,19.421,462.36,58.27,12.484,45.84,True
AA7075,489.8,388.7,437.09,4.704,86.76,19.68,0.313829,24725975434.994,23.009,488.67,78.71,94.146,0.0,True
AA6061,469.14,385.27,449.62,7.056,103.13,23.62,0.418142,32978366160.915,25.729,481.1,94.2,168.64,0.0,True
AA6063,461.98,385.73,447.16,5.327,88.05,13.75,0.295275,19316608156.818,26.201,465.81,79.58,71.424,0.0,True
AA6061,483.55,428.9,451.48,4.024,122.5,35.25,0.227934,9704470900.912,21.745,495.54,89.27,144.663,0.0,True
AA6063,498.57,400.8,402.53,4.321,148.87,20.76,0.167714,3708356380.038,20.868,499.28,71.74,89.474,0.0,True
AA6063,446.3,418.57,396.77,5.247,99.65,18.28,0.293804,25309107855.875,27.13,466.54,96.48,96.434,0.0,True
AA7075,423.75,403.22,445.27,2.962,137.27,31.26,0.143296,80647272647.603,27.188,449.07,108.37,93.54,0.0,True
AA6063,477.27,428.02,404.04,6.784,146.85,42.85,0.330673,11204568093.608,24.372,495.56,103.66,289.932,0.0,True
AA6061,426.86,429.21,425.3,7.369,108.3,22.84,0.402903,86811744986.028,29.083,456.2,107.89,166.807,0.0,True
AA6061,469.74,453.17,428.97,7.105,130.68,14.82,0.280394,14377842587.423,22.99,484.6,69.9,105.474,0.0,True
AA6063,451.78,452.16,444.35,2.567,112.66,42.67,0.159859,9811867885.064,23.937,479.48,103.73,107.2,0.0,True
AA6061,481.3,415.02,442.03,6.816,140.03,46.67,0.354164,15499488879.038,23.232,502.73,105.42,315.316,0.0,True
AA6063,461.91,421.37,390.9,5.537,83.13,40.48,0.46931,25292767424.171,27.128,487.71,119.27,223.436,0.0,True
AA6063,473.36,428.89,408.69,2.525,149.16,28.16,0.107924,3973505108.877,21.078,487.98,82.31,71.111,0.0,True
AA6061,421.32,382.12,410.95,2.132,81.63,40.25,0.183283,58534343491.887,27.699,450.12,120.92,85.334,0.0,True
AA6063,497.53,403.22,458.62,3.838,106.99,23.62,0.210334,4477192782.215,21.444,503.79,80.12,88.0,0.0,True
AA7075,449.13,445.64,435.48,2.249,115.52,37.1,0.13383,26557544487.823,23.253,470.85,97.65,83.101,0.0,True
AA7075,481.9,439.22,404.49,3.319,135.48,28.46,0.154865,11674170636.335,20.521,495.62,82.71,93.363,0.0,True
AA6061,463.29,449.23,390.83,6.532,88.74,41.77,0.524811,34629086305.065,25.894,492.66,112.81,272.897,0.0,True
AA7075,443.97,419.99,422.33,4.954,110.89,34.23,0.300553,78908772669.569,27.109,462.13,109.38,169.062,0.0,True
AA7075,482.33,425.68,456.35,2.453,87.65,44.16,0.19836,16619339386.077,21.674,498.3,96.17,106.127,0.0,True
AA7075,480.15,442.32,453.81,1.265,141.04,31.09,0.05649,4701967756.967,17.711,487.22,73.76,37.737,0.08,True
AA6061,421.43,460.34,433.5,6.821,100.62,10.57,0.30434,67698654795.005,28.207,447.51,79.35,71.886,0.0,True
AA6063,479.65,446.04,428.9,1.593,114.13,13.11,0.069761,1921825568.59,18.933,487.88,57.0,21.235,4.79,True
AA6063,475.35,381.12,386.91,7.079,127.72,14.52,0.283339,12637946725.453,24.771,481.51,79.62,102.82,0.0,True
AA7075,438.33,400.48,444.91,7.443,108.36,46.24,0.507127,174649518639.353,30.058,465.97,134.99,347.046,0.0,True
AA6063,453.51,442.06,395.45,6.149,140.69,28.16,0.27362,17182871420.608,25.803,474.11,100.41,170.032,0.0,True
AA6063,482.48,424.17,421.95,1.953,134.27,20.86,0.086418,2454286383.1,19.639,489.46,69.89,41.715,0.1,True
AA6061,475.9,384.71,445.8,0.986,97.28,39.64,0.074176,4556024095.537,19.454,481.97,84.94,40.696,0.03,True
AA6061,491.28,416.69,454.36,3.575,147.49,13.57,0.122971,4307101276.712,19.289,492.79,57.83,49.417,0.01,True
AA6063,436.87,401.86,387.94,5.731,146.08,20.76,0.227324,30690733893.482,27.802,455.16,100.42,119.005,0.0,True
AA6061,472.38,441.04,381.16,6.996,93.02,32.08,0.499369,27211812854.715,25.083,494.01,103.67,224.987,0.0,True
AA6063,479.98,384.84,410.77,7.523,88.8,39.48,0.594175,23066100383.975,26.809,495.82,114.67,296.747,0.0,True
AA6063,428.69,420.27,398.85,6.839,81.03,25.16,0.520636,75620445557.042,31.029,464.09,118.29,172.331,0.0,True
AA6063,457.25,458.63,421.28,5.752,101.83,40.96,0.399875,20675618577.165,26.433,489.29,113.53,235.223,0.0,True
AA6061,438.22,432.12,426.91,4.986,126.41,31.94,0.260433,39645024379.34,26.355,461.98,107.91,158.931,0.0,True
AA6063,451.66,405.89,385.28,2.609,97.26,29.36,0.172393,13659471461.712,25.03,467.47,98.01,76.275,0.0,True
AA7075,429.97,431.37,441.34,5.091,90.29,42.44,0.400244,149376629166.26,29.47,463.55,128.67,214.266,0.0,True
AA6061,456.76,453.3,435.01,1.445,90.31,10.31,0.070834,5370375976.865,19.94,471.85,54.73,14.804,0.85,True
AA6063,470.76,454.47,441.82,4.826,92.62,28.34,0.332949,12237366472.632,24.664,489.85,97.09,136.845,0.0,True
AA7075,483.5,448.63,398.93,7.644,93.78,48.06,0.609133,42725667418.995,24.906,502.25,112.85,371.212,0.0,True
AA6061,421.57,381.01,446.26,6.145,104.85,37.93,0.405619,139728990470.669,30.786,452.09,131.58,232.331,0.0,True
AA7075,439.7,417.01,441.96,7.785,133.45,44.21,0.418677,133252743718.705,29.043,468.95,128.87,341.34,0.0,True
AA6063,437.75,405.25,447.05,6.119,86.68,27.15,0.443867,53376030875.621,29.767,462.09,112.61,165.658,0.0,True
AA7075,494.68,419.15,422.26,4.275,124.48,13.63,0.175173,9857595184.32,19.98,497.6,60.86,59.57,0.0,True
AA6063,434.92,454.15,388.25,4.571,95.46,11.56,0.222377,22281539802.241,26.69,460.49,74.41,52.489,0.0,True
AA7075,447.53,446.64,390.09,4.021,143.26,43.83,0.202129,42925506888.961,24.923,470.06,108.5,175.806,0.0,True
AA7075,421.97,432.1,409.21,3.132,141.56,28.4,0.13845,67991535439.416,26.568,446.86,103.91,87.094,0.0,True
AA7075,495.85,410.5,423.15,4.695,121.33,12.45,0.187542,11588996044.879,20.497,492.31,60.39,58.831,0.0,True
AA7075,424.74,396.69,403.95,6.076,124.84,26.64,0.307406,176623269452.514,30.101,446.59,114.35,163.078,0.0,True
AA7075,484.62,457.98,439.51,3.778,121.34,36.44,0.212357,13713730891.669,21.042,500.06,90.52,136.738,0.0,True
AA7075,471.73,418.86,408.09,7.671,124.25,15.2,0.319741,38167978976.216,24.51,478.26,78.91,116.178,0.0,True
AA6061,475.35,437.82,416.4,7.474,128.62,39.16,0.405558,19610743770.009,23.998,493.61,101.0,291.617,0.0,True
AA6063,487.43,435.71,438.86,4.977,146.3,29.85,0.218779,5236042923.956,21.93,500.88,86.99,147.297,0.0,True
AA7075,421.11,437.62,459.44,4.066,96.45,38.19,0.29312,147569770848.931,29.425,453.09,125.64,155.21,0.0,True
AA6061,464.91,411.33,391.6,7.088,91.01,22.39,0.460381,35263646874.335,25.956,481.44,92.42,158.018,0.0,True
AA7075,488.0,458.31,429.87,2.669,91.4,17.48,0.163357,9572071737.408,19.887,495.63,67.75,47.756,0.0,True
AA6061,468.61,399.73,409.17,1.63,103.34,37.1,0.106015,7635339734.672,21.003,480.53,88.15,58.897,0.0,True
AA6061,468.49,459.19,406.13,7.542,144.03,10.46,0.236226,12714716040.078,22.597,480.22,62.95,79.374,0.0,True
AA6061,474.62,413.69,408.67,3.719,98.5,18.21,0.212891,11373719079.609,22.243,484.65,76.25,68.906,0.0,True
